-6,6,6,6
6,6,-6,6
6,-6,6,6
-8,4,6,6
-6,6,4,8
4,-8,6,6
6,6,-4,8
6,-6,4,8
6,-6,8,4
8,4,-6,6
8,-4,6,6
6,2,0,12
8,4,2,10
10,2,4,8
12,0,2,6
-6,-6,-6,6
-6,-6,6,-6
6,-6,-6,-6
-10,6,2,6
-10,2,6,6
-6,6,2,10
-6,2,6,10
-2,6,10,6
2,6,-10,6
2,-10,6,6
2,-6,10,6
6,2,-6,10
6,6,-2,10
6,-6,2,10
6,-10,6,2
6,-2,6,10
6,-6,10,2
10,2,-6,6
10,6,-2,6
10,-6,2,6
10,-2,6,6
-8,-4,-6,6
-6,-6,-8,4
-6,-6,-4,8
-6,-6,8,-4
-4,-8,-6,6
-4,-8,6,-6
4,-8,-6,-6
6,-6,-8,-4
-12,0,2,6
-6,2,0,12
0,-12,6,2
2,-6,12,0
6,-2,0,12
12,0,-2,6
6,6,0,12
12,0,6,6
-12,0,-2,6
-10,2,-4,8
-10,-2,4,8
-8,4,-2,10
-8,-4,2,10
-6,-2,0,12
-4,-8,10,2
-2,-10,8,4
-2,-6,12,0
0,-12,-6,2
0,-12,6,-2
2,-6,-12,0
2,-10,-8,4
2,-10,8,-4
4,-8,-10,2
4,-8,10,-2
8,-4,-2,10
10,-2,-4,8
-10,-2,-6,6
-10,-6,-2,6
-10,-6,2,-6
-6,-6,-10,2
-6,-10,-6,2
-6,-2,-6,10
-6,-6,-2,10
-6,-10,6,-2
-6,-6,10,-2
-2,-6,-10,6
-2,-10,-6,6
-2,-10,6,-6
-2,-6,10,-6
2,-6,-10,-6
2,-10,-6,-6
6,-6,-10,-2
6,-10,-6,-2
10,-6,-2,-6
-12,0,6,6
-6,6,0,12
0,-12,6,6
6,-6,0,12
6,-6,12,0
12,0,-6,6
-2,-6,-12,0
0,-12,-6,-2
-12,0,-6,6
-6,-6,0,12
-6,-6,12,0
0,-12,-6,6
0,-12,6,-6
6,-6,-12,0
-4,-8,-10,-2
-2,-10,-8,-4
-6,2,12,8
-2,6,8,12
2,6,-8,12
2,-6,8,12
6,2,-12,8
6,-2,12,8
8,-12,2,6
12,-8,6,2
6,10,0,12
12,0,10,6
-6,-6,-12,0
0,-12,-6,-6
-12,0,10,6
-6,10,0,12
0,-12,6,10
6,-10,0,12
10,-6,12,0
12,0,-10,6
-12,-8,-6,2
-12,-8,6,-2
-8,-12,-2,6
-8,-12,2,-6
-6,-2,-12,8
-2,-6,-8,12
8,-12,-2,-6
12,-8,-6,-2
-12,0,-10,6
-10,-6,12,0
-6,-10,0,12
0,-12,-6,10
0,-12,6,-10
10,-6,-12,0
10,6,8,12
12,8,6,10
-10,-6,-12,0
0,-12,-6,-10
-12,8,-6,10
-12,-8,6,10
-10,6,-8,12
-10,-6,8,12
-8,-12,10,6
-6,-10,12,8
6,-10,-12,8
6,-10,12,-8
8,-12,-10,6
8,-12,10,-6
10,-6,-8,12
12,-8,-6,10
-8,-12,-10,-6
-6,-10,-12,-8
