S_Z^2,E/j
144.0,12.0
121.0,8.35260846730679
100.0,5.351614904035393
81.0,2.28340184134745
64.0,-0.41044527419231436
49.0,-3.2232224868674137
36.0,-5.129430776228848
25.0,-7.623783783241205
16.0,-9.167812775429503
9.0,-9.88372500406274
4.0,-10.958165374150948
1.0,-11.080673048613018
0.0,-11.463118777834811
