-4,4,4,4
4,4,-4,4
4,-4,4,4
-6,2,4,4
-4,4,2,6
2,-6,4,4
4,4,-2,6
4,-4,2,6
4,-4,6,2
6,2,-4,4
6,-2,4,4
4,0,0,8
6,2,2,6
8,0,0,4
-4,-4,-4,4
-4,-4,4,-4
4,-4,-4,-4
-8,0,0,4
-4,0,0,8
0,-8,4,0
0,-4,8,0
-6,-2,-4,4
-4,-4,-6,2
-4,-4,-2,6
-4,-4,6,-2
-2,-6,-4,4
-2,-6,4,-4
2,-6,-4,-4
4,-4,-6,-2
0,4,8,4
4,4,0,8
4,0,4,8
8,4,0,4
8,0,4,4
-6,2,-2,6
-6,-2,2,6
-2,-6,6,2
0,-4,-8,0
0,-8,-4,0
2,-6,-6,2
2,-6,6,-2
6,-2,-2,6
-8,4,0,4
-8,0,4,4
-4,4,0,8
-4,0,4,8
0,4,-8,4
0,-8,4,4
0,-4,8,4
4,0,-4,8
4,-4,0,8
4,-8,4,0
4,-4,8,0
8,0,-4,4
8,-4,0,4
-8,0,-4,4
-8,-4,0,4
-4,0,-4,8
-4,-4,0,8
-4,-8,4,0
-4,-4,8,0
0,-4,-8,4
0,-8,-4,4
0,-8,4,-4
0,-4,8,-4
4,-4,-8,0
4,-8,-4,0
8,-4,0,-4
-2,-6,-6,-2
-8,-4,0,-4
-4,-4,-8,0
-4,-8,-4,0
0,-4,-8,-4
0,-8,-4,-4
4,4,2,10
10,2,4,4
0,8,4,8
0,4,8,8
4,8,0,8
4,0,8,8
8,0,8,4
-2,2,8,8
2,2,-8,8
2,-2,8,8
8,-8,2,2
-10,2,6,2
-8,0,8,4
-6,2,10,2
-4,8,0,8
-4,0,8,8
-2,6,2,10
-2,2,6,10
-2,2,10,6
0,4,-8,8
0,8,-4,8
0,-8,4,8
0,-4,8,8
2,2,-10,6
2,2,-6,10
2,6,-2,10
2,-10,2,6
2,-6,2,10
2,-2,6,10
2,-2,10,6
4,0,-8,8
4,-8,0,8
6,2,-10,2
6,-10,2,2
6,-2,10,2
8,0,-8,4
8,-8,0,4
8,-8,4,0
8,-4,8,0
10,2,-6,2
10,-6,2,2
10,-2,6,2
-10,2,-4,4
-10,-2,4,4
-4,4,-2,10
-4,-4,2,10
-4,-4,10,2
-2,-10,4,4
2,-10,-4,4
2,-10,4,-4
4,-4,-10,2
4,-4,-2,10
4,-4,10,-2
10,-2,-4,4
2,6,8,8
6,2,8,8
